heightwholenum,framemat,framefunc,widthWholeNum,lift,itemset,locationtype,leadmechanic,TotalInstallationTime,LongCarry
31,,SLIDER,27,39,WRAP AROUND FRAME,2,90,30,NULL
33,,BOTTOM SH,31,9,SNAP BEADS,9,11,55,NULL
18,,,44,56,putty,0,118,70,NULL
42,wood,FLUSH GLAZE,58,40,flush glaze,2,90,50,NULL
39,,FIXED,21,40,VINYL BEADS,9,228,40,NULL
95,ALUMINUM,FLUSH GLAZE,45,2,PUSH RUBBER,2,11,35,NULL
79,Wood,FIXED,32,12,WOOD BEADS,1,6,60,NULL
53,ALUMINUM,FIXED,42,27,SNAP BEADS,9,90,30,NULL
18,,,48,96,SNAP BEADS,0,211,35,NULL
27,VINYL,FIXED,31,60,SNAP BEADS,9,11,70,NULL
10,,,52,60,SCREW BEADS,2,118,65,NULL
42,,,45,54,STEEL BEADS,12,228,135,NULL
32,,,29,55,Putty,2,62,150,NULL
42,VINYL,SLIDER,33,36,SNAP BEADS,0,62,45,NULL
43,VINYL,FIXED,44,39,SNAP BEADS,9,62,40,NULL
73,,FINTUBE,79,19,SCREW BEADS,2,6,170,1
33,,SIDELITE,24,4,SCREW BEADS,9,211,40,NULL
41,alum,FIXED,52,36,SNAP BEADS,9,228,40,NULL
57,,,37,24,SCREW BEADS,1,6,40,NULL
66,ALUMINUM,FLUSH GLAZE,26,26,flush glaze,2,211,20,NULL
48,ANDERSEN,,20,36,wrap around rubber,1,11,130,NULL
20,,,36,28,VINYL BEADS,2,90,25,NULL
63,wood,,59,53,WOOD BEADS,0,118,95,NULL
23,,,24,60,VINYL BEADS,1,211,35,NULL
83,ALUMINUM,FLUSH GLAZE,74,22,flush glaze,2,6,125,NULL
11,,,49,72,SNAP BEADS,9,137,65,NULL
81,ALUMINUM,FLUSH GLAZE,55,2,flush glaze,2,90,40,NULL
70,,SLIDER,44,23,WRAP AROUND FRAME,2,90,80,NULL
76,Wood,FIXED,46,23,,2,211,120,NULL
98,,SASH,46,12,,2,6,90,NULL
47,VINYL,BAY WINDOW,54,32,WRAP AROUND FRAME,1,6,75,NULL
56,,FIXED,22,32,SNAP BEADS,9,118,60,NULL
53,alum,SLIDER,20,26,wrap around rubber,1,62,20,NULL
28,VINYL,SLIDER,19,53,SNAP BEADS,1,62,25,NULL
53,,FIXED,20,26,SNAP BEADS,1,62,20,NULL
53,alum,SLIDER,20,26,wrap around rubber,1,62,25,NULL
53,alum,SLIDER,20,26,SNAP BEADS,1,62,25,NULL
42,,FIXED,33,37,SNAP BEADS,9,62,45,NULL
33,ALUMINUM,FLUSH GLAZE,33,2,flush glaze,2,11,35,NULL
56,,FIXED,24,28,VINYL BEADS,9,6,65,NULL
27,,BOTTOM SH,31,21,SNAP BEADS,9,137,120,NULL
15,VINYL,FIXED,19,22,SNAP BEADS,1,211,15,NULL
51,,,45,36,VINYL BEADS,1,90,20,NULL
66,wood,,35,36,,2,211,125,NULL
0,,,0,64,,1,11,30,NULL
76,wood,FIXED,30,18,WOOD BEADS,1,90,85,NULL
20,,BOTTOM SH,41,48,SNAP BEADS,1,118,45,NULL
34,ALUMINUM,CURTAIN WALL,68,42,,5,62,95,NULL
68,alum,FIXED,26,31,putty,5,118,145,NULL
94,,,76,24,SCREW BEADS,2,228,240,NULL
60,ALUMINUM,FIXED,28,33,VINYL BEADS,1,118,50,NULL
32,Wood,TOP SH,20,66,Putty,9,228,100,NULL
83,,FIXED,32,9,SNAP BEADS,1,6,150,NULL
56,,,40,54,,2,228,55,NULL
35,ALUMINUM,FLUSH GLAZE,79,36,flush glaze,2,211,40,NULL
58,ALUMINUM,FLUSH GLAZE,88,36,flush glaze,2,228,25,NULL
47,ALUMINUM,FLUSH GLAZE,46,20,PUSH RUBBER,0,138,20,NULL
57,ANDERSEN,,72,26,WOOD BEADS,1,211,105,NULL
60,,,27,40,SNAP BEADS,6,62,240,NULL
59,,,60,26,,2,90,95,NULL
10,,,26,84,VINYL BEADS,1,228,50,NULL
48,,,34,35,PUSH RUBBER,1,228,30,NULL
33,,,31,43,,9,62,25,NULL
40,VINYL,FIXED,14,45,SNAP BEADS,9,118,25,NULL
94,,,43,28,WOOD BEADS,2,211,140,NULL
35,ALUMINUM,FIXED,49,57,SNAP BEADS,5,6,40,NULL
76,WOOD,FIXED,34,120,WOOD BEADS,1,211,110,NULL
22,,,18,72,VINYL BEADS,1,90,35,NULL
22,,,22,55,WOOD BEADS,1,118,100,NULL
72,,,58,34,WOOD BEADS,2,6,60,NULL
78,SASH RAIL,,36,30,,2,211,90,NULL
73,ALUMINUM,FLUSH GLAZE,43,45,,2,211,20,NULL
55,ALUMINUM,,44,41,SNAP BEADS,2,6,20,NULL
75,ALUMINUM,FLUSH GLAZE,44,19,PUSH RUBBER,2,211,35,NULL
71,,SIDELITE,14,7,WOOD BEADS,1,118,65,NULL
70,,,54,36,WOOD BEADS,2,6,50,NULL
44,,FIXED,32,40,WRAP AROUND FRAME,1,90,40,NULL
42,VINYL,SLIDER,33,39,SNAP BEADS,9,90,30,NULL
23,,BOTTOM SH,32,34,SNAP BEADS,9,90,10,NULL
23,,BOTTOM SH,32,31,,9,90,30,NULL
42,VINYL,FIXED,32,39,SNAP BEADS,9,90,25,NULL
53,,FIXED,45,28,VINYL BEADS,2,90,40,NULL
59,,FIXED,44,34,VINYL BEADS,9,118,95,NULL
19,WOOD,FIXED,40,3,,1,211,50,NULL
18,,,41,84,,5,228,90,NULL
75,ALUMINUM,FLUSH GLAZE,44,19,PUSH RUBBER,2,211,35,NULL
18,,,30,40,VINYL BEADS,9,118,40,NULL
26,,,26,60,VINYL BEADS,1,90,45,NULL
42,,FIXED,15,40,VINYL BEADS,9,90,55,NULL
